Altium Designer Pick and Place Locations
D:\SynologyDrive\SynologyDrive\Arribada-APMP\Electronics\04_OUTPUT_FILES\Arribada PMP_V1.2_PICK & PLACE\Arribada PMP_V1.2_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       09/02/21
Time:       15:02
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"Designator14","SERIAL_NUMBER","-58.3993","-57.2903","41.0250","99.0250","-58.3993","-57.2903","TopLayer","0","Comment"
"R59","RES0603","102.0000","76.8750","102.0000","76.8750","102.0000","77.6250","TopLayer","270","10k"
"TP6","TestPoint:1.2x1.2mm","95.6500","43.1250","95.6500","43.1250","95.6500","43.1250","TopLayer","90","TestPoint"
"TP5","TestPoint:1.2x1.2mm","95.6500","37.1500","95.6500","37.1500","95.6500","37.1500","TopLayer","90","TestPoint"
"TP4","TestPoint:1.2x1.2mm","91.1000","43.1250","91.1000","43.1250","91.1000","43.1250","TopLayer","90","TestPoint"
"TP3","TestPoint:1.2x1.2mm","91.1000","37.1500","91.1000","37.1500","91.1000","37.1500","TopLayer","90","TestPoint"
"C28","CAP0603","87.6750","40.0750","87.6750","40.0750","87.6750","39.3250","TopLayer","90","100nF"
"C24","CAP0603","89.0750","40.0750","89.1000","40.0500","89.0750","39.3250","TopLayer","90","1uF"
"U16","VSSOP-10","93.3250","40.0250","93.3250","40.0250","91.1250","41.0250","TopLayer","270","TS3A24159DGSR"
"C29","CAP0603","46.5250","67.0250","46.5250","67.0250","46.5250","67.7750","TopLayer","270","1uF"
"C27","CAP0603","39.5500","36.5750","39.5500","36.5750","38.8000","36.5750","TopLayer","360","1uF"
"S1","SW","13.9330","12.2711","14.0150","12.1011","15.9830","11.4711","TopLayer","180","BTN - KMR221NGLFS"
"R66","RES0603","123.2350","49.5911","123.2350","49.5911","122.4850","49.5911","TopLayer","360","0R"
"R65","RES0603","123.2350","48.0711","123.2350","48.0711","122.4850","48.0711","TopLayer","360","0R"
"R64","RES0603","48.7450","67.7911","48.7450","67.7911","47.9950","67.7911","TopLayer","360","0R"
"R63","RES0603","48.7450","66.2711","48.7450","66.2711","49.4950","66.2711","TopLayer","180","0R"
"R62","RES0603","10.0350","12.2811","10.0350","12.2811","10.0350","13.0311","TopLayer","270","100R"
"P11","BATTERY_HOLDER_18650","30.7333","62.1594","30.7268","62.1594","30.7333","98.4814","BottomLayer","180","BAT - 18650"
"CON4","TC2030-IDC-NL","143.1850","108.6211","143.1850","108.6211","144.4550","109.2561","TopLayer","180","Tag connect"
"R56","RES0603","92.7250","47.6046","92.7250","47.6046","93.4750","47.6046","TopLayer","180","100R"
"R31","RES0603","120.9992","63.4409","120.9992","63.4409","120.9992","64.1909","TopLayer","270","0R"
"R30","RES0603","89.5000","51.3296","89.5000","51.3296","90.2500","51.3296","TopLayer","180","100R"
"C15","CAP0603","130.2000","57.9250","130.2250","57.9000","130.2000","57.1750","TopLayer","90","100nF"
"X1","LFXTAL009678","109.4169","75.1811","109.4169","75.1811","108.1669","75.1811","TopLayer","360","32.768KHZ"
"U5","TSOP65P500X110-8N","109.5269","70.7911","109.5269","70.7911","110.5019","73.0411","TopLayer","270","ISL1208IU8Z-T7A"
"U4","TSOT26","93.4750","50.3546","93.4750","50.3546","92.1250","51.3046","TopLayer","360","DMG6602SVT"
"U3","VDFN_2x2","101.3966","63.4011","101.3966","63.4011","100.6466","62.3511","TopLayer","360","MCP1810T-30I/J8A"
"U2","VQFN_TPS","94.6766","68.7811","94.6766","68.7811","93.7141","69.5311","TopLayer","270","TPS630701RNMT"
"U1","QFN4x4","81.1366","68.8511","81.1366","68.8511","79.2116","70.1011","TopLayer","180","BQ24296RGET"
